sentiment,ID,Time,none,username,Text,text_clean,text_normalized,text_lemma,text_nouns,text_adjectives,text_verbs,text_nav,no_tokens
0,2328818606,Thu Jun 25 10:01:34 PDT 2009,NO_QUERY,redstar72,"CAN'T BEAT LIVE MUSIC, WISH I COULD SING BUT I CAN'T ","CAN'T BEAT LIVE MUSIC, WISH I COULD SING BUT I CAN'T ",cant beat live music wish could sing ',can not beat live music wish could sing ',music wish,live,can beat could sing,music wish live can beat could sing,9.0
0,2328818761,Thu Jun 25 10:01:35 PDT 2009,NO_QUERY,LIDA360,Charlie lost an angel today   Very sad   http://twurl.nl/k5bw5m,Charlie lost an angel today   Very sad   ,charlie lost angel today sad,charlie lost angel today sad,charlie lost angel today,sad,,charlie lost angel today sad,5.0
0,2328818847,Thu Jun 25 10:01:35 PDT 2009,NO_QUERY,rnspires21,"at work, and very bored ","at work, and very bored ",work bored,work bored,work bored,,,work bored,2.0
0,2328819310,Thu Jun 25 10:01:37 PDT 2009,NO_QUERY,lasthonestlook,"It's weird how celebrities go in threes. Carradine, McMahon and now Farrah. ","It's weird how celebrities go in threes. Carradine, McMahon and now Farrah. ","weird celebrities go threes carradine , mcmahon farrah .","weird celebrity go threes carradine , mcmahon farrah .",celebrity threes carradine mcmahon farrah,weird,go,celebrity threes carradine mcmahon farrah weird go,9.0
0,2328819347,Thu Jun 25 10:01:37 PDT 2009,NO_QUERY,deiann,"@adelate Farrah's dead? Had no idea.. RIP Farrah, indeed. ","@adelate Farrah's dead? Had no idea.. RIP Farrah, indeed. ","adelate farrahs dead ? idea .. rip farrah , indeed .","adelate farrah dead ? idea .. rip farrah , indeed .",farrah idea,adelate dead,rip,farrah idea adelate dead rip,11.0
0,2328819450,Thu Jun 25 10:01:37 PDT 2009,NO_QUERY,jessoquinn,Very sad news.  Farrah Fawcett passed away.  ,Very sad news.  Farrah Fawcett passed away.  ,sad news farrah fawcett passed away,sad news farrah fawcett pass away,news farrah fawcett,sad,pass,news farrah fawcett sad pass,6.0
0,2328819810,Thu Jun 25 10:01:39 PDT 2009,NO_QUERY,minid51294,"I'm so sad to hear the news about Farrah Fawcett... She was a Corpus Christi native, and will be missed dearly. ","I'm so sad to hear the news about Farrah Fawcett... She was a Corpus Christi native, and will be missed dearly. ","im sad hear news farrah fawcett .. corpus christi native , missed dearly .","-PRON- be sad hear news farrah fawcett .. corpus christi native , miss dearly .",sad news farrah fawcett corpus christi native,,be hear miss,sad news farrah fawcett corpus christi native be hear miss,15.0
0,2328819913,Thu Jun 25 10:01:39 PDT 2009,NO_QUERY,StripXpertease,R.I.P. Farrah Fawcett...  A super-hottie to the end.  Now a real angel.,R.I.P. Farrah Fawcett...  A super-hottie to the end.  Now a real angel.,rip . farrah fawcett ... super - hottie end . real angel .,rip . farrah fawcett ... super - hottie end . real angel .,farrah fawcett end angel,super - hottie real,rip,farrah fawcett end angel super - hottie real rip,13.0
0,2328819960,Thu Jun 25 10:01:39 PDT 2009,NO_QUERY,misscutie,damn my plans 4 2morrow r cancelled now wat am supposed to do ,damn my plans  morrow r cancelled now wat am supposed to do ,damn plans morrow r cancelled wat supposed,damn plan morrow r cancel wat suppose,damn morrow r wat,,plan cancel suppose,damn morrow r wat plan cancel suppose,7.0
0,2328820002,Thu Jun 25 10:01:39 PDT 2009,NO_QUERY,CheyennePaige,Rest in peace Farrah Fawcett.  so sad.,Rest in peace Farrah Fawcett.  so sad.,rest peace farrah fawcett sad,rest peace farrah fawcett sad,peace farrah fawcett,sad,rest,peace farrah fawcett sad rest,5.0
0,2328820011,Thu Jun 25 10:01:39 PDT 2009,NO_QUERY,Alegna75,Retweeting @secretagentmama: Rest in Peace Farrah Fawcett..  http://is.gd/1dfIb,Retweeting @secretagentmama: Rest in Peace Farrah Fawcett..  ,retweeting secretagentmama rest peace farrah fawcett ..,retweete secretagentmama rest peace farrah fawcett ..,secretagentmama rest peace farrah fawcett,,retweete,secretagentmama rest peace farrah fawcett retweete,7.0
0,2328820024,Thu Jun 25 10:01:39 PDT 2009,NO_QUERY,Darkfrost,"Yay, Haruhi Endless Eight part 2/3! And I thought two episodes were too many ","Yay, Haruhi Endless Eight part /! And I thought two episodes were too many ",yay haruhi endless eight part ! thought two episodes many,yay haruhi endless eight part ! think two episode many,yay haruhi part episode,endless many,think,yay haruhi part episode endless many think,10.0
0,2328820417,Thu Jun 25 10:01:41 PDT 2009,NO_QUERY,Vonnie617,We really need to keep doing our parts to help find a cure for cancer. Too many lives have been loss to cancer. RIP Aunt Alice I love you ,We really need to keep doing our parts to help find a cure for cancer. Too many lives have been loss to cancer. RIP Aunt Alice I love you ,really need keep parts help find cure cancer many lives loss cancer rip aunt alice love,really need keep part help find cure cancer many life loss cancer rip aunt alice love,part cancer life loss cancer aunt love,cure many alice,need keep help find rip,part cancer life loss cancer aunt love cure many alice need keep help find rip,16.0
0,2328820576,Thu Jun 25 10:01:41 PDT 2009,NO_QUERY,bridgetblog,Rest in peace Farrah  What a sad day,Rest in peace Farrah  What a sad day,rest peace farrah sad day,rest peace farrah sad day,peace farrah day,sad,rest,peace farrah day sad rest,5.0
0,2328820620,Thu Jun 25 10:01:42 PDT 2009,NO_QUERY,JohnMoulder,Ah huge bummer. R.I.P. Sky Saxon. The Seeds owned it in their day   http://bit.ly/mD3pI,Ah huge bummer. R.I.P. Sky Saxon. The Seeds owned it in their day   ,ah huge bummer ri . p . sky saxon . seeds owned day,ah huge bummer ri . p . sky saxon . seed own day,bummer ri sky saxon seed day,huge,own,bummer ri sky saxon seed day huge own,13.0
0,2328821128,Thu Jun 25 10:01:43 PDT 2009,NO_QUERY,ros100," I jinxed my good mood, I say I'm happy and all that cause Nicks the father to sharons baby and now Farrah dies... didn't know her but its"," I jinxed my good mood, I say I'm happy and all that cause Nicks the father to sharons baby and now Farrah dies... didn't know her but its",jinxed good mood say im happy cause nicks father sharons baby farrah dies ... ' know,jinxed good mood say -PRON- be happy cause nicks father sharon baby farrah die ... ' know,jinxed mood happy cause nicks father sharon baby farrah,good,say be die know,jinxed mood happy cause nicks father sharon baby farrah good say be die know,17.0
0,2328821285,Thu Jun 25 10:01:44 PDT 2009,NO_QUERY,chrisyb2507,"ahh it's too nice out, don't want to be at work right now ","ahh it's too nice out, don't want to be at work right now ",ahh nice ' want work right,ahh nice ' want work right,ahh nice want work,,,ahh nice want work,6.0
0,2328821319,Thu Jun 25 10:01:44 PDT 2009,NO_QUERY,SavvyAuntie,@keithprivette aw it doesn't DVR... It's online only at http://foxnews.com/strategyroom Sorry  It streams only only.,@keithprivette aw it doesn't DVR... It's online only at  Sorry  It streams only only.,keithprivette aw doesnt dvr ... ' online sorry streams .,keithprivette aw do not dvr ... ' online sorry stream .,keithprivette aw stream,online sorry,dvr,keithprivette aw stream online sorry dvr,11.0
0,2328821509,Thu Jun 25 10:01:45 PDT 2009,NO_QUERY,jtruxton,The lasagna wasn't very good today    thank god for snickers bars...,The lasagna wasn't very good today    thank god for snickers bars...,lasagna wasnt good today thank god snickers bars ..,lasagna be not good today thank god snickers bar ..,lasagna today god snickers,good,thank bar,lasagna today god snickers good thank bar,10.0
0,2328821617,Thu Jun 25 10:01:45 PDT 2009,NO_QUERY,GirLeeGurL,@SimplyStar  me too ,@SimplyStar  me too ,simplystar,simplystar,simplystar,,,simplystar,1.0
0,2328821749,Thu Jun 25 10:01:46 PDT 2009,NO_QUERY,Josemanu_012,Sick  I might have Influenza AH1N1 ,Sick  I might have Influenza AHN ,sick might influenza ahn,sick may influenza ahn,ahn,sick,may influenza,ahn sick may influenza,4.0
0,2328821824,Thu Jun 25 10:01:46 PDT 2009,NO_QUERY,somethingelseat,"on a brighter note, tmrw's pay day and is a little meaningless to me coz i have many things to settle on n ZARA is waving at me already ","on a brighter note, tmrw's pay day and is a little meaningless to me coz i have many things to settle on n ZARA is waving at me already ",brighter note tmrws pay day little meaningless coz many things settle n zara waving already,bright note tmrws pay day little meaningless coz many thing settle n zara wave already,note pay day coz thing n zara,bright tmrws little meaningless many,settle wave,note pay day coz thing n zara bright tmrws little meaningless many settle wave,15.0
0,2328822000,Thu Jun 25 10:01:47 PDT 2009,NO_QUERY,xpunkfishx,Farrah Fawcett.  She was a couragous fighter.,Farrah Fawcett.  She was a couragous fighter.,farrah fawcett couragous fighter,farrah fawcett couragous fighter,farrah fawcett fighter,couragous,,farrah fawcett fighter couragous,4.0
0,2328822101,Thu Jun 25 10:01:47 PDT 2009,NO_QUERY,cityninja,It won't rain anymore. ,It won't rain anymore. ,wont rain anymore,will not rain anymore,,,will rain,will rain,4.0
